Analyzer,Accuracy,Precision,Recall,Fscore
static+dynamic+wala+npm_cg+tajs+acg,0.70,0.88,0.94,0.90
static+dynamic+wala+npm_cg+acg,0.70,0.88,0.94,0.90
static+dynamic+wala+tajs,0.72,0.80,0.87,0.83
static+dynamic+wala+tajs+acg,0.70,0.88,0.94,0.90
static+dynamic+wala+acg,0.70,0.88,0.94,0.90
static+dynamic+npm_cg,0.72,0.80,0.87,0.83
static+dynamic+npm_cg+tajs,0.72,0.80,0.87,0.83
static+dynamic+npm_cg+tajs+acg,0.70,0.88,0.94,0.90
static+dynamic+npm_cg+acg,0.70,0.88,0.94,0.90
static+dynamic+tajs,0.72,0.80,0.87,0.83
static+dynamic+tajs+acg,0.70,0.88,0.94,0.90
static+dynamic+acg,0.70,0.88,0.94,0.90
static+closure_compiler,0.60,0.61,0.65,0.62
static+closure_compiler+wala,0.60,0.61,0.65,0.62
static+closure_compiler+wala+npm_cg,0.60,0.61,0.65,0.62
static+closure_compiler+wala+npm_cg+tajs,0.60,0.61,0.65,0.62
static+closure_compiler+wala+npm_cg+tajs+acg,0.62,0.67,0.79,0.72
static+closure_compiler+wala+npm_cg+acg,0.62,0.67,0.79,0.72
static+closure_compiler+wala+tajs,0.60,0.61,0.65,0.62
static+closure_compiler+wala+tajs+acg,0.62,0.67,0.79,0.72
static+closure_compiler+wala+acg,0.62,0.67,0.79,0.72
static+closure_compiler+npm_cg,0.60,0.61,0.65,0.62
static+closure_compiler+npm_cg+tajs,0.60,0.61,0.65,0.62
static+closure_compiler+npm_cg+tajs+acg,0.62,0.67,0.79,0.72
static+closure_compiler+npm_cg+acg,0.62,0.67,0.79,0.72
static+closure_compiler+tajs,0.60,0.61,0.65,0.62
static+closure_compiler+tajs+acg,0.62,0.67,0.79,0.72
static+closure_compiler+acg,0.62,0.67,0.79,0.72
static+wala,0.60,0.60,0.62,0.59
static+wala+npm_cg,0.60,0.60,0.62,0.59
static+wala+npm_cg+tajs,0.60,0.60,0.62,0.59
static+wala+npm_cg+tajs+acg,0.62,0.67,0.78,0.71
static+wala+npm_cg+acg,0.62,0.67,0.78,0.71
static+wala+tajs,0.60,0.60,0.62,0.59
static+wala+tajs+acg,0.62,0.67,0.78,0.71
static+wala+acg,0.62,0.67,0.78,0.71
static+npm_cg,0.60,0.60,0.62,0.59
static+npm_cg+tajs,0.60,0.60,0.62,0.59
static+npm_cg+tajs+acg,0.62,0.67,0.78,0.71
static+npm_cg+acg,0.62,0.67,0.78,0.71
static+tajs,0.60,0.60,0.62,0.59
static+tajs+acg,0.62,0.67,0.78,0.71
static+acg,0.62,0.67,0.78,0.71
nativecalls,0.51,0.49,0.04,0.06
nativecalls+dynamic,0.90,0.82,0.82,0.81
nativecalls+dynamic+closure_compiler,0.83,0.83,0.85,0.84
nativecalls+dynamic+closure_compiler+wala,0.83,0.83,0.85,0.84
nativecalls+dynamic+closure_compiler+wala+npm_cg,0.83,0.83,0.85,0.84
nativecalls+dynamic+closure_compiler+wala+npm_cg+tajs,0.83,0.83,0.85,0.84
nativecalls+dynamic+closure_compiler+wala+npm_cg+tajs+acg,0.75,0.88,0.93,0.90
nativecalls+dynamic+closure_compiler+wala+npm_cg+acg,0.75,0.88,0.93,0.90
nativecalls+dynamic+closure_compiler+wala+tajs,0.83,0.83,0.85,0.84
nativecalls+dynamic+closure_compiler+wala+tajs+acg,0.75,0.88,0.93,0.90
nativecalls+dynamic+closure_compiler+wala+acg,0.75,0.88,0.93,0.90
nativecalls+dynamic+closure_compiler+npm_cg,0.83,0.83,0.85,0.84
nativecalls+dynamic+closure_compiler+npm_cg+tajs,0.83,0.83,0.85,0.84
nativecalls+dynamic+closure_compiler+npm_cg+tajs+acg,0.75,0.88,0.93,0.90
nativecalls+dynamic+closure_compiler+npm_cg+acg,0.75,0.88,0.93,0.90
nativecalls+dynamic+closure_compiler+tajs,0.83,0.83,0.85,0.84
nativecalls+dynamic+closure_compiler+tajs+acg,0.75,0.88,0.93,0.90
nativecalls+dynamic+closure_compiler+acg,0.75,0.88,0.93,0.90
nativecalls+dynamic+wala,0.90,0.82,0.82,0.81
nativecalls+dynamic+wala+npm_cg,0.90,0.82,0.82,0.81
nativecalls+dynamic+wala+npm_cg+tajs,0.90,0.82,0.82,0.81
nativecalls+dynamic+wala+npm_cg+tajs+acg,0.76,0.88,0.93,0.90
nativecalls+dynamic+wala+npm_cg+acg,0.76,0.88,0.93,0.90
nativecalls+dynamic+wala+tajs,0.90,0.82,0.82,0.81
nativecalls+dynamic+wala+tajs+acg,0.76,0.88,0.93,0.90
nativecalls+dynamic+wala+acg,0.76,0.88,0.93,0.90
nativecalls+dynamic+npm_cg,0.90,0.82,0.82,0.81
nativecalls+dynamic+npm_cg+tajs,0.90,0.82,0.82,0.81
nativecalls+dynamic+npm_cg+tajs+acg,0.76,0.88,0.93,0.90
nativecalls+dynamic+npm_cg+acg,0.76,0.88,0.93,0.90
nativecalls+dynamic+tajs,0.90,0.82,0.82,0.81
nativecalls+dynamic+tajs+acg,0.76,0.88,0.93,0.90
nativecalls+dynamic+acg,0.76,0.88,0.93,0.90
nativecalls+closure_compiler,0.50,0.50,0.20,0.24
nativecalls+closure_compiler+wala,0.50,0.50,0.20,0.24
nativecalls+closure_compiler+wala+npm_cg,0.50,0.50,0.20,0.24
nativecalls+closure_compiler+wala+npm_cg+tajs,0.50,0.50,0.20,0.24
nativecalls+closure_compiler+wala+npm_cg+tajs+acg,0.62,0.62,0.67,0.63
nativecalls+closure_compiler+wala+npm_cg+acg,0.62,0.62,0.67,0.63
nativecalls+closure_compiler+wala+tajs,0.50,0.50,0.20,0.24
nativecalls+closure_compiler+wala+tajs+acg,0.62,0.62,0.67,0.63
nativecalls+closure_compiler+wala+acg,0.62,0.62,0.67,0.63
nativecalls+closure_compiler+npm_cg,0.50,0.50,0.20,0.24
nativecalls+closure_compiler+npm_cg+tajs,0.50,0.50,0.20,0.24
nativecalls+closure_compiler+npm_cg+tajs+acg,0.62,0.62,0.67,0.63
nativecalls+closure_compiler+npm_cg+acg,0.62,0.62,0.67,0.63
nativecalls+closure_compiler+tajs,0.50,0.50,0.20,0.24
nativecalls+closure_compiler+tajs+acg,0.62,0.62,0.67,0.63
nativecalls+closure_compiler+acg,0.62,0.62,0.67,0.63
nativecalls+wala,0.51,0.49,0.04,0.06
nativecalls+wala+npm_cg,0.51,0.49,0.04,0.06
nativecalls+wala+npm_cg+tajs,0.51,0.49,0.04,0.06
nativecalls+wala+npm_cg+tajs+acg,0.62,0.62,0.64,0.60
nativecalls+wala+npm_cg+acg,0.62,0.62,0.64,0.60
nativecalls+wala+tajs,0.51,0.49,0.04,0.06
nativecalls+wala+tajs+acg,0.62,0.62,0.64,0.60
nativecalls+wala+acg,0.62,0.62,0.64,0.60
nativecalls+npm_cg,0.51,0.49,0.04,0.06
nativecalls+npm_cg+tajs,0.51,0.49,0.04,0.06
nativecalls+npm_cg+tajs+acg,0.62,0.62,0.64,0.60
nativecalls+npm_cg+acg,0.62,0.62,0.64,0.60
nativecalls+tajs,0.51,0.49,0.04,0.06
nativecalls+tajs+acg,0.62,0.62,0.64,0.60
nativecalls+acg,0.62,0.62,0.64,0.60
dynamic,0.90,0.82,0.82,0.81
dynamic+closure_compiler,0.83,0.83,0.85,0.84
dynamic+closure_compiler+wala,0.83,0.83,0.85,0.84
dynamic+closure_compiler+wala+npm_cg,0.83,0.83,0.85,0.84
dynamic+closure_compiler+wala+npm_cg+tajs,0.83,0.83,0.85,0.84
dynamic+closure_compiler+wala+npm_cg+tajs+acg,0.75,0.88,0.93,0.90
dynamic+closure_compiler+wala+npm_cg+acg,0.75,0.88,0.93,0.90
dynamic+closure_compiler+wala+tajs,0.83,0.83,0.85,0.84
dynamic+closure_compiler+wala+tajs+acg,0.75,0.88,0.93,0.90
dynamic+closure_compiler+wala+acg,0.75,0.88,0.93,0.90
dynamic+closure_compiler+npm_cg,0.83,0.83,0.85,0.84
dynamic+closure_compiler+npm_cg+tajs,0.83,0.83,0.85,0.84
dynamic+closure_compiler+npm_cg+tajs+acg,0.75,0.88,0.93,0.90
dynamic+closure_compiler+npm_cg+acg,0.75,0.88,0.93,0.90
dynamic+closure_compiler+tajs,0.83,0.83,0.85,0.84
dynamic+closure_compiler+tajs+acg,0.75,0.88,0.93,0.90
dynamic+closure_compiler+acg,0.75,0.88,0.93,0.90
dynamic+wala,0.90,0.82,0.82,0.81
dynamic+wala+npm_cg,0.90,0.82,0.82,0.81
dynamic+wala+npm_cg+tajs,0.90,0.82,0.82,0.81
dynamic+wala+npm_cg+tajs+acg,0.76,0.88,0.93,0.90
dynamic+wala+npm_cg+acg,0.76,0.88,0.93,0.90
dynamic+wala+tajs,0.90,0.82,0.82,0.81
dynamic+wala+tajs+acg,0.76,0.88,0.93,0.90
dynamic+wala+acg,0.76,0.88,0.93,0.90
dynamic+npm_cg,0.90,0.82,0.82,0.81
dynamic+npm_cg+tajs,0.90,0.82,0.82,0.81
dynamic+npm_cg+tajs+acg,0.76,0.88,0.93,0.90
dynamic+npm_cg+acg,0.76,0.88,0.93,0.90
dynamic+tajs,0.90,0.82,0.82,0.81
dynamic+tajs+acg,0.76,0.88,0.93,0.90
dynamic+acg,0.76,0.88,0.93,0.90
closure_compiler,0.50,0.50,0.20,0.24
closure_compiler+wala,0.50,0.50,0.20,0.24
closure_compiler+wala+npm_cg,0.50,0.50,0.20,0.24
closure_compiler+wala+npm_cg+tajs,0.50,0.50,0.20,0.24
closure_compiler+wala+npm_cg+tajs+acg,0.62,0.62,0.67,0.63
closure_compiler+wala+npm_cg+acg,0.62,0.62,0.67,0.63
closure_compiler+wala+tajs,0.50,0.50,0.20,0.24
closure_compiler+wala+tajs+acg,0.62,0.62,0.67,0.63
closure_compiler+wala+acg,0.62,0.62,0.67,0.63
closure_compiler+npm_cg,0.50,0.50,0.20,0.24
closure_compiler+npm_cg+tajs,0.50,0.50,0.20,0.24
closure_compiler+npm_cg+tajs+acg,0.62,0.62,0.67,0.63
closure_compiler+npm_cg+acg,0.62,0.62,0.67,0.63
closure_compiler+tajs,0.50,0.50,0.20,0.24
closure_compiler+tajs+acg,0.62,0.62,0.67,0.63
closure_compiler+acg,0.62,0.62,0.67,0.63
wala,0.51,0.49,0.04,0.05
wala+npm_cg,0.51,0.49,0.04,0.05
wala+npm_cg+tajs,0.51,0.49,0.04,0.05
wala+npm_cg+tajs+acg,0.62,0.62,0.64,0.60
wala+npm_cg+acg,0.62,0.62,0.64,0.60
wala+tajs,0.51,0.49,0.04,0.05
wala+tajs+acg,0.62,0.62,0.64,0.60
wala+acg,0.62,0.62,0.64,0.60
npm_cg,0.51,0.49,0.04,0.05
npm_cg+tajs,0.51,0.49,0.04,0.05
npm_cg+tajs+acg,0.62,0.62,0.64,0.60
npm_cg+acg,0.62,0.62,0.64,0.60
tajs,0.51,0.49,0.04,0.05
tajs+acg,0.62,0.62,0.64,0.60
acg,0.62,0.62,0.64,0.60
