Analyzer,Accuracy,Precision,Recall,Fscore
static+dynamic+wala+npm_cg+tajs+acg,0.70,0.91,0.96,0.93
static+dynamic+wala+npm_cg+acg,0.70,0.91,0.96,0.93
static+dynamic+wala+tajs,0.74,0.91,0.95,0.93
static+dynamic+wala+tajs+acg,0.70,0.91,0.96,0.93
static+dynamic+wala+acg,0.70,0.91,0.96,0.93
static+dynamic+npm_cg,0.74,0.91,0.95,0.93
static+dynamic+npm_cg+tajs,0.74,0.91,0.95,0.93
static+dynamic+npm_cg+tajs+acg,0.70,0.91,0.96,0.93
static+dynamic+npm_cg+acg,0.70,0.91,0.96,0.93
static+dynamic+tajs,0.74,0.91,0.95,0.93
static+dynamic+tajs+acg,0.70,0.91,0.96,0.93
static+dynamic+acg,0.70,0.91,0.96,0.93
static+closure_compiler,0.60,0.65,0.70,0.67
static+closure_compiler+wala,0.60,0.65,0.70,0.67
static+closure_compiler+wala+npm_cg,0.60,0.65,0.70,0.67
static+closure_compiler+wala+npm_cg+tajs,0.60,0.65,0.70,0.67
static+closure_compiler+wala+npm_cg+tajs+acg,0.62,0.70,0.81,0.75
static+closure_compiler+wala+npm_cg+acg,0.62,0.70,0.81,0.75
static+closure_compiler+wala+tajs,0.60,0.65,0.70,0.67
static+closure_compiler+wala+tajs+acg,0.62,0.70,0.81,0.75
static+closure_compiler+wala+acg,0.62,0.70,0.81,0.75
static+closure_compiler+npm_cg,0.60,0.65,0.70,0.67
static+closure_compiler+npm_cg+tajs,0.60,0.65,0.70,0.67
static+closure_compiler+npm_cg+tajs+acg,0.62,0.70,0.81,0.75
static+closure_compiler+npm_cg+acg,0.62,0.69,0.81,0.74
static+closure_compiler+tajs,0.60,0.64,0.70,0.66
static+closure_compiler+tajs+acg,0.62,0.69,0.81,0.74
static+closure_compiler+acg,0.62,0.69,0.81,0.74
static+wala,0.61,0.62,0.63,0.60
static+wala+npm_cg,0.61,0.62,0.63,0.60
static+wala+npm_cg+tajs,0.61,0.62,0.63,0.60
static+wala+npm_cg+tajs+acg,0.63,0.68,0.79,0.73
static+wala+npm_cg+acg,0.63,0.68,0.79,0.73
static+wala+tajs,0.61,0.62,0.63,0.60
static+wala+tajs+acg,0.63,0.68,0.79,0.73
static+wala+acg,0.62,0.67,0.79,0.72
static+npm_cg,0.60,0.60,0.61,0.59
static+npm_cg+tajs,0.60,0.60,0.61,0.59
static+npm_cg+tajs+acg,0.63,0.67,0.78,0.72
static+npm_cg+acg,0.63,0.67,0.78,0.72
static+tajs,0.60,0.59,0.61,0.58
static+tajs+acg,0.63,0.66,0.78,0.71
static+acg,0.64,0.67,0.79,0.72
nativecalls,0.48,0.47,0.01,0.01
nativecalls+dynamic,0.89,0.83,0.83,0.83
nativecalls+dynamic+closure_compiler,0.78,0.88,0.90,0.89
nativecalls+dynamic+closure_compiler+wala,0.78,0.87,0.90,0.88
nativecalls+dynamic+closure_compiler+wala+npm_cg,0.78,0.88,0.90,0.89
nativecalls+dynamic+closure_compiler+wala+npm_cg+tajs,0.78,0.88,0.90,0.89
nativecalls+dynamic+closure_compiler+wala+npm_cg+tajs+acg,0.73,0.95,0.97,0.96
nativecalls+dynamic+closure_compiler+wala+npm_cg+acg,0.73,0.95,0.97,0.96
nativecalls+dynamic+closure_compiler+wala+tajs,0.78,0.88,0.90,0.89
nativecalls+dynamic+closure_compiler+wala+tajs+acg,0.73,0.95,0.97,0.96
nativecalls+dynamic+closure_compiler+wala+acg,0.73,0.95,0.97,0.96
nativecalls+dynamic+closure_compiler+npm_cg,0.78,0.87,0.90,0.88
nativecalls+dynamic+closure_compiler+npm_cg+tajs,0.78,0.88,0.90,0.89
nativecalls+dynamic+closure_compiler+npm_cg+tajs+acg,0.73,0.95,0.97,0.96
nativecalls+dynamic+closure_compiler+npm_cg+acg,0.73,0.95,0.97,0.96
nativecalls+dynamic+closure_compiler+tajs,0.78,0.88,0.90,0.89
nativecalls+dynamic+closure_compiler+tajs+acg,0.73,0.95,0.97,0.96
nativecalls+dynamic+closure_compiler+acg,0.73,0.95,0.97,0.96
nativecalls+dynamic+wala,0.89,0.83,0.83,0.83
nativecalls+dynamic+wala+npm_cg,0.89,0.83,0.83,0.83
nativecalls+dynamic+wala+npm_cg+tajs,0.89,0.83,0.83,0.82
nativecalls+dynamic+wala+npm_cg+tajs+acg,0.76,0.94,0.96,0.95
nativecalls+dynamic+wala+npm_cg+acg,0.76,0.94,0.96,0.95
nativecalls+dynamic+wala+tajs,0.89,0.83,0.82,0.82
nativecalls+dynamic+wala+tajs+acg,0.76,0.94,0.96,0.95
nativecalls+dynamic+wala+acg,0.77,0.94,0.96,0.95
nativecalls+dynamic+npm_cg,0.89,0.82,0.82,0.82
nativecalls+dynamic+npm_cg+tajs,0.89,0.82,0.83,0.82
nativecalls+dynamic+npm_cg+tajs+acg,0.77,0.94,0.96,0.95
nativecalls+dynamic+npm_cg+acg,0.77,0.94,0.96,0.95
nativecalls+dynamic+tajs,0.89,0.82,0.83,0.82
nativecalls+dynamic+tajs+acg,0.77,0.94,0.96,0.95
nativecalls+dynamic+acg,0.77,0.94,0.96,0.95
nativecalls+closure_compiler,0.45,0.46,0.17,0.21
nativecalls+closure_compiler+wala,0.45,0.46,0.17,0.21
nativecalls+closure_compiler+wala+npm_cg,0.45,0.46,0.17,0.21
nativecalls+closure_compiler+wala+npm_cg+tajs,0.45,0.45,0.16,0.19
nativecalls+closure_compiler+wala+npm_cg+tajs+acg,0.61,0.61,0.69,0.62
nativecalls+closure_compiler+wala+npm_cg+acg,0.61,0.61,0.69,0.62
nativecalls+closure_compiler+wala+tajs,0.45,0.45,0.16,0.19
nativecalls+closure_compiler+wala+tajs+acg,0.61,0.61,0.69,0.62
nativecalls+closure_compiler+wala+acg,0.61,0.61,0.69,0.62
nativecalls+closure_compiler+npm_cg,0.45,0.45,0.16,0.19
nativecalls+closure_compiler+npm_cg+tajs,0.45,0.45,0.16,0.19
nativecalls+closure_compiler+npm_cg+tajs+acg,0.61,0.61,0.69,0.62
nativecalls+closure_compiler+npm_cg+acg,0.61,0.61,0.69,0.62
nativecalls+closure_compiler+tajs,0.45,0.45,0.16,0.19
nativecalls+closure_compiler+tajs+acg,0.61,0.61,0.68,0.62
nativecalls+closure_compiler+acg,0.61,0.61,0.68,0.62
nativecalls+wala,0.45,0.45,0.01,0.01
nativecalls+wala+npm_cg,0.45,0.45,0.01,0.01
nativecalls+wala+npm_cg+tajs,0.45,0.45,0.01,0.01
nativecalls+wala+npm_cg+tajs+acg,0.61,0.60,0.63,0.57
nativecalls+wala+npm_cg+acg,0.61,0.60,0.63,0.57
nativecalls+wala+tajs,0.45,0.45,0.01,0.01
nativecalls+wala+tajs+acg,0.61,0.60,0.63,0.57
nativecalls+wala+acg,0.61,0.60,0.63,0.57
nativecalls+npm_cg,0.45,0.45,0.01,0.01
nativecalls+npm_cg+tajs,0.45,0.45,0.01,0.01
nativecalls+npm_cg+tajs+acg,0.61,0.60,0.63,0.57
nativecalls+npm_cg+acg,0.61,0.60,0.63,0.57
nativecalls+tajs,0.45,0.45,0.01,0.01
nativecalls+tajs+acg,0.61,0.60,0.63,0.57
nativecalls+acg,0.61,0.60,0.63,0.57
dynamic,0.89,0.81,0.81,0.81
dynamic+closure_compiler,0.80,0.84,0.87,0.85
dynamic+closure_compiler+wala,0.81,0.84,0.87,0.85
dynamic+closure_compiler+wala+npm_cg,0.81,0.84,0.87,0.85
dynamic+closure_compiler+wala+npm_cg+tajs,0.81,0.84,0.87,0.85
dynamic+closure_compiler+wala+npm_cg+tajs+acg,0.78,0.89,0.94,0.92
dynamic+closure_compiler+wala+npm_cg+acg,0.78,0.89,0.95,0.92
dynamic+closure_compiler+wala+tajs,0.81,0.84,0.87,0.85
dynamic+closure_compiler+wala+tajs+acg,0.78,0.89,0.95,0.92
dynamic+closure_compiler+wala+acg,0.78,0.89,0.94,0.92
dynamic+closure_compiler+npm_cg,0.81,0.84,0.87,0.85
dynamic+closure_compiler+npm_cg+tajs,0.81,0.84,0.87,0.85
dynamic+closure_compiler+npm_cg+tajs+acg,0.78,0.89,0.94,0.92
dynamic+closure_compiler+npm_cg+acg,0.78,0.89,0.94,0.92
dynamic+closure_compiler+tajs,0.81,0.84,0.87,0.85
dynamic+closure_compiler+tajs+acg,0.78,0.89,0.95,0.92
dynamic+closure_compiler+acg,0.78,0.89,0.94,0.92
dynamic+wala,0.89,0.81,0.81,0.80
dynamic+wala+npm_cg,0.89,0.81,0.81,0.80
dynamic+wala+npm_cg+tajs,0.89,0.81,0.81,0.80
dynamic+wala+npm_cg+tajs+acg,0.80,0.89,0.93,0.91
dynamic+wala+npm_cg+acg,0.80,0.89,0.93,0.91
dynamic+wala+tajs,0.89,0.81,0.81,0.80
dynamic+wala+tajs+acg,0.80,0.89,0.93,0.91
dynamic+wala+acg,0.82,0.90,0.94,0.92
dynamic+npm_cg,0.90,0.81,0.83,0.82
dynamic+npm_cg+tajs,0.90,0.81,0.83,0.82
dynamic+npm_cg+tajs+acg,0.82,0.90,0.94,0.92
dynamic+npm_cg+acg,0.82,0.90,0.94,0.92
dynamic+tajs,0.90,0.81,0.83,0.82
dynamic+tajs+acg,0.82,0.90,0.94,0.92
dynamic+acg,0.82,0.90,0.94,0.92
closure_compiler,0.46,0.45,0.14,0.16
closure_compiler+wala,0.46,0.45,0.14,0.16
closure_compiler+wala+npm_cg,0.46,0.45,0.14,0.16
closure_compiler+wala+npm_cg+tajs,0.46,0.45,0.14,0.16
closure_compiler+wala+npm_cg+tajs+acg,0.64,0.61,0.65,0.60
closure_compiler+wala+npm_cg+acg,0.64,0.61,0.65,0.60
closure_compiler+wala+tajs,0.46,0.45,0.14,0.16
closure_compiler+wala+tajs+acg,0.64,0.61,0.65,0.60
closure_compiler+wala+acg,0.64,0.61,0.65,0.60
